,State,State ID,District,District ID,Year,ABY,Year2017,Year2018,Year2019,2018andABY,2019andABY,% Institutional deliveries to Total Reported Deliveries,Total Number of reported live births,% live birth to Reported Birth,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,% Newborns given Hep-B0(Birth Dose)at birth to Reported live birth,% Infants 0 to 11 months old who received Measles+ MR vaccine to reported live births,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose,Total Number of Infant Deaths reported,Total no. maternal deaths,Total number of pregnant women Registered for ANC,MMR,IMR,Doctor,Sub Centres,PHCs,CHCs,Sub Divisional Hospitals,District Hospitals,Total Health Centres,GDP_PC,Poor_GDP_PC
0,A & N Islands,1,Nicobar,1,2017,0,1,0,0,0,0,93.9,420,99.1,15.7,80.7,88.3,68.8,110.2,13,14,0,684,0.0,33.33,15,41,4,1,1,1,47,159664,0
1,A & N Islands,1,Nicobar,1,2018,1,0,1,0,1,0,92.6,404,97.6,23.5,83.7,83.2,73.3,153.0,704,3,0,585,0.0,7.43,23,41,4,1,1,1,47,167647,0
2,A & N Islands,1,Nicobar,1,2019,1,0,0,1,0,1,96.1,286,97.3,14.8,87.4,100.0,84.3,147.2,284,8,1,485,349.65,27.97,35,41,4,1,1,1,47,176029,0
3,A & N Islands,1,North and Middle Andaman,2,2017,0,1,0,0,0,0,93.2,770,97.8,19.7,73.4,91.3,65.6,155.5,20,8,6,1262,779.22,10.39,15,44,8,2,2,1,55,159664,0
4,A & N Islands,1,North and Middle Andaman,2,2018,1,0,1,0,1,0,92.7,642,97.9,14.5,89.9,113.2,78.7,169.3,1042,8,1,1228,155.76,12.46,23,44,8,2,2,1,55,167647,0
5,A & N Islands,1,North and Middle Andaman,2,2019,1,0,0,1,0,1,94.1,416,98.6,19.9,98.8,124.0,92.3,240.4,922,10,3,1010,721.15,24.04,35,44,8,2,2,1,55,176029,0
6,A & N Islands,1,South Andaman,3,2017,0,1,0,0,0,0,99.3,3085,98.8,16.0,76.2,78.2,62.1,74.2,67,61,5,3264,162.07,19.77,15,39,15,1,1,1,56,159664,0
7,A & N Islands,1,South Andaman,3,2018,1,0,1,0,1,0,99.3,2947,98.3,15.8,71.9,78.9,69.3,92.6,2208,41,6,3159,203.6,13.91,23,39,15,1,1,1,56,167647,0
8,A & N Islands,1,South Andaman,3,2019,1,0,0,1,0,1,99.2,2183,98.6,14.9,88.5,88.3,84.2,96.3,2123,39,1,2560,45.81,17.87,35,39,15,1,1,1,56,176029,0
9,Andhra Pradesh,2,Anantapur,1,2017,0,1,0,0,0,0,99.4,72030,98.9,9.2,82.1,85.0,73.3,136.6,24837,1071,61,83624,84.69,14.87,174,586,121,16,3,2,728,139679,0
10,Andhra Pradesh,2,Anantapur,1,2018,1,0,1,0,1,0,99.7,67049,98.7,7.6,98.9,115.3,93.4,146.4,61673,933,23,78452,34.3,13.92,204,586,123,16,3,2,730,151173,0
11,Andhra Pradesh,2,Anantapur,1,2019,1,0,0,1,0,1,99.3,67112,98.7,9.1,89.3,101.5,82.3,99.5,54185,810,22,67375,32.78,12.07,239,586,123,16,3,2,730,158732,0
12,Andhra Pradesh,2,Chittoor,2,2017,0,1,0,0,0,0,99.8,62232,99.2,7.2,99.2,100.4,97.5,114.1,28708,567,48,68891,77.13,9.11,174,644,121,16,5,4,790,139679,0
13,Andhra Pradesh,2,Chittoor,2,2018,1,0,1,0,1,0,100.0,57265,99.3,6.7,102.7,103.6,102.0,132.5,63062,628,30,75916,52.39,10.97,204,644,129,16,5,4,798,151173,0
14,Andhra Pradesh,2,Chittoor,2,2019,1,0,0,1,0,1,100.0,42601,99.0,8.0,104.7,103.0,103.0,143.9,54498,949,29,65425,68.07,22.28,239,644,129,16,5,4,798,158732,0
15,Andhra Pradesh,2,Cuddapah,3,2017,0,1,0,0,0,0,99.6,52468,98.4,5.6,96.3,103.9,87.8,104.3,21715,531,32,55105,60.99,10.12,174,448,89,13,2,2,554,139679,0
16,Andhra Pradesh,2,Cuddapah,3,2018,1,0,1,0,1,0,99.7,47170,98.4,5.4,101.3,117.7,85.0,114.4,48182,447,17,56686,36.04,9.48,204,448,95,13,2,2,560,151173,0
17,Andhra Pradesh,2,Cuddapah,3,2019,1,0,0,1,0,1,99.8,37873,98.7,5.5,96.8,109.0,81.5,119.3,40542,906,12,45963,31.68,23.92,239,448,95,13,2,2,560,158732,0
18,Andhra Pradesh,2,East Godavari,4,2017,0,1,0,0,0,0,99.4,76473,99.6,4.1,75.9,109.9,86.5,105.0,39386,1212,95,85198,124.23,15.85,174,840,160,27,4,2,1033,139679,0
19,Andhra Pradesh,2,East Godavari,4,2018,1,0,1,0,1,0,99.7,73032,99.4,4.4,123.0,100.3,108.5,116.2,69581,1245,61,85432,83.53,17.05,204,840,154,27,4,2,1027,151173,0
20,Andhra Pradesh,2,East Godavari,4,2019,1,0,0,1,0,1,100.0,62220,99.3,4.6,74.0,93.0,106.0,106.5,57003,905,37,64217,59.47,14.55,239,840,154,27,4,2,1027,158732,0
21,Andhra Pradesh,2,Guntur,5,2017,0,1,0,0,0,0,99.9,64908,99.4,3.4,110.9,113.7,95.1,129.6,38361,1070,55,72564,84.74,16.48,174,680,127,19,3,2,831,139679,0
22,Andhra Pradesh,2,Guntur,5,2018,1,0,1,0,1,0,99.9,75604,99.5,2.2,107.9,109.5,82.1,106.1,72484,1175,83,78586,109.78,15.54,204,680,131,19,3,2,835,151173,0
23,Andhra Pradesh,2,Guntur,5,2019,1,0,0,1,0,1,99.9,59521,99.2,2.2,72.9,85.3,41.6,123.3,61633,643,62,71564,104.16,10.8,239,680,132,19,3,2,836,158732,0
24,Andhra Pradesh,2,Krishna,6,2017,0,1,0,0,0,0,99.9,68268,99.3,2.7,81.6,93.6,67.8,107.7,40040,704,78,70745,114.26,10.31,174,593,138,13,3,2,749,139679,0
25,Andhra Pradesh,2,Krishna,6,2018,1,0,1,0,1,0,100.0,65137,99.3,3.2,96.9,100.6,92.6,119.4,75182,713,32,73172,49.13,10.95,204,593,139,13,3,2,750,151173,0
26,Andhra Pradesh,2,Krishna,6,2019,1,0,0,1,0,1,100.0,55506,98.9,3.0,82.4,96.3,66.7,125.0,64679,640,48,66927,86.48,11.53,239,593,139,13,3,2,750,158732,0
27,Andhra Pradesh,2,Kurnool,7,2017,0,1,0,0,0,0,97.1,73967,98.1,8.2,78.9,106.1,62.5,97.7,35301,1573,87,81290,117.62,21.27,174,542,112,20,2,2,678,139679,0
28,Andhra Pradesh,2,Kurnool,7,2018,1,0,1,0,1,0,99.2,74281,98.2,7.3,111.4,110.8,91.6,110.5,67357,1237,60,86943,80.77,16.65,204,542,113,20,2,2,679,151173,0
29,Andhra Pradesh,2,Kurnool,7,2019,1,0,0,1,0,1,99.4,58445,98.4,7.2,92.1,114.1,71.0,130.8,60652,1198,60,82852,102.66,20.5,239,542,113,20,2,2,679,158732,0
30,Andhra Pradesh,2,Nellore,8,2017,0,1,0,0,0,0,99.2,40258,99.4,6.6,102.5,99.8,96.5,112.6,21137,143,24,42190,59.62,3.55,174,477,94,15,3,2,591,139679,0
31,Andhra Pradesh,2,Nellore,8,2018,1,0,1,0,1,0,99.8,40353,99.1,4.6,96.8,102.9,93.9,112.3,43585,160,15,49922,37.17,3.97,204,477,95,15,3,2,592,151173,0
32,Andhra Pradesh,2,Nellore,8,2019,1,0,0,1,0,1,99.9,37227,99.0,6.5,82.6,86.8,58.2,116.9,37377,106,17,56590,45.67,2.85,239,477,95,15,3,2,592,158732,0
33,Andhra Pradesh,2,Prakasam,9,2017,0,1,0,0,0,0,99.9,55380,99.7,3.2,91.4,97.9,74.0,103.7,24198,196,30,61902,54.17,3.54,174,534,104,16,3,2,659,139679,0
34,Andhra Pradesh,2,Prakasam,9,2018,1,0,1,0,1,0,100.0,50666,99.2,4.3,104.8,113.0,97.0,111.2,53330,311,13,62544,25.66,6.14,204,534,105,16,3,2,660,151173,0
35,Andhra Pradesh,2,Prakasam,9,2019,1,0,0,1,0,1,100.0,43313,99.0,4.0,99.4,101.1,92.3,113.6,44470,212,17,51316,39.25,4.89,239,534,105,16,3,2,660,158732,0
36,Andhra Pradesh,2,Srikakulam,10,2017,0,1,0,0,0,0,99.9,39082,99.3,3.7,96.9,112.5,72.8,114.0,16478,302,17,45413,43.5,7.73,174,465,92,16,3,2,578,139679,0
37,Andhra Pradesh,2,Srikakulam,10,2018,1,0,1,0,1,0,99.9,40377,99.3,3.4,108.8,114.5,75.4,111.6,39894,379,14,45724,34.67,9.39,204,465,95,16,3,2,581,151173,0
38,Andhra Pradesh,2,Srikakulam,10,2019,1,0,0,1,0,1,100.0,36605,99.3,2.5,92.4,103.3,77.2,106.0,33817,331,11,41248,30.05,9.04,239,465,95,16,3,2,581,158732,0
39,Andhra Pradesh,2,Vishakapatnam,11,2017,0,1,0,0,0,0,93.4,65270,98.8,7.1,98.4,99.0,94.7,105.8,33040,1312,74,68097,113.38,20.1,174,583,126,13,4,2,728,139679,0
40,Andhra Pradesh,2,Vishakapatnam,11,2018,1,0,1,0,1,0,95.5,70145,98.6,7.2,83.3,95.4,81.1,109.4,70519,1363,98,71199,139.71,19.43,204,583,123,13,4,2,725,151173,0
41,Andhra Pradesh,2,Vishakapatnam,11,2019,1,0,0,1,0,1,97.3,67390,98.8,5.9,100.3,108.9,96.8,97.6,58255,1257,124,68898,184.0,18.65,239,583,123,13,4,2,725,158732,0
42,Andhra Pradesh,2,Vizianagaram,12,2017,0,1,0,0,0,0,99.0,35691,99.5,5.6,90.8,100.5,88.7,121.4,9830,208,12,41799,33.62,5.83,174,431,80,12,2,1,526,139679,0
43,Andhra Pradesh,2,Vizianagaram,12,2018,1,0,1,0,1,0,99.7,31050,98.9,5.3,111.2,106.9,98.6,134.5,31354,212,12,39557,38.65,6.83,204,431,80,12,2,1,526,151173,0
44,Andhra Pradesh,2,Vizianagaram,12,2019,1,0,0,1,0,1,99.9,28276,99.1,6.1,90.1,103.7,100.2,131.7,30854,208,17,37453,60.12,7.36,239,431,80,12,2,1,526,158732,0
45,Andhra Pradesh,2,West Godavari,13,2017,0,1,0,0,0,0,99.9,45528,99.3,4.8,120.4,139.1,113.8,153.0,29557,125,27,54147,59.3,2.75,174,635,120,15,4,1,775,139679,0
46,Andhra Pradesh,2,West Godavari,13,2018,1,0,1,0,1,0,100.0,50594,99.2,2.7,100.0,100.1,99.7,113.2,51689,99,16,54193,31.62,1.96,204,635,121,15,4,1,776,151173,0
47,Andhra Pradesh,2,West Godavari,13,2019,1,0,0,1,0,1,100.0,41518,99.2,2.9,95.4,111.2,93.3,124.1,48527,114,2,47531,4.82,2.75,239,635,121,15,4,1,776,158732,0
48,Arunachal Pradesh,3,Anjaw,1,2017,0,1,0,0,0,0,64.2,106,100.0,7.1,68.9,138.7,43.4,146.2,0,0,0,398,0.0,0.0,12,12,6,5,5,5,23,130197,0
49,Arunachal Pradesh,3,Anjaw,1,2018,1,0,1,0,1,0,80.0,78,97.5,12.9,64.1,198.7,48.7,405.1,207,1,0,437,0.0,12.82,16,12,6,5,5,5,23,139587,0
50,Arunachal Pradesh,3,Anjaw,1,2019,1,0,0,1,0,1,81.4,128,97.7,6.3,70.3,153.1,64.1,210.2,261,2,0,414,0.0,15.62,54,12,6,5,5,5,23,146567,0
51,Arunachal Pradesh,3,Changlang,2,2017,0,1,0,0,0,0,74.9,1590,99.2,5.7,86.5,155.8,68.3,122.3,0,6,0,3136,0.0,3.77,12,25,5,5,5,1,36,130197,0
52,Arunachal Pradesh,3,Changlang,2,2018,1,0,1,0,1,0,72.0,1662,99.0,6.5,74.8,144.7,68.2,138.6,1983,3,0,3197,0.0,1.81,16,25,5,5,5,1,36,139587,0
53,Arunachal Pradesh,3,Changlang,2,2019,1,0,0,1,0,1,78.2,1719,99.7,5.9,77.1,128.4,62.0,116.9,1691,4,0,2929,0.0,2.33,54,25,5,5,5,1,36,146567,0
54,Arunachal Pradesh,3,Dibang Valley,3,2017,0,1,0,0,0,0,95.8,47,97.9,0.0,57.4,89.4,2.1,163.8,75,0,0,170,0.0,0.0,12,6,1,1,1,1,8,130197,0
55,Arunachal Pradesh,3,Dibang Valley,3,2018,1,0,1,0,1,0,88.4,36,97.3,26.1,94.4,86.1,69.4,308.3,22,0,0,158,0.0,0.0,16,6,1,1,1,1,8,139587,0
56,Arunachal Pradesh,3,Dibang Valley,3,2019,1,0,0,1,0,1,82.9,33,94.3,0.0,93.9,109.1,90.9,390.9,28,0,0,106,0.0,0.0,54,6,1,1,1,1,8,146567,0
57,Arunachal Pradesh,3,East Kameng,4,2017,0,1,0,0,0,0,86.7,795,98.1,4.3,98.7,109.8,48.1,163,185,13,0,1572,0.0,16.35,12,28,11,3,3,1,43,130197,0
58,Arunachal Pradesh,3,East Kameng,4,2018,1,0,1,0,1,0,93.2,673,98.8,6.2,86.2,109.8,66.4,130.2,170,6,1,1619,148.59,8.92,16,26,11,3,3,1,41,139587,0
59,Arunachal Pradesh,3,East Kameng,4,2019,1,0,0,1,0,1,94.0,594,98.5,3.1,96.1,98.3,42.6,95.8,29,4,0,1291,0.0,6.73,54,26,11,3,3,1,41,146567,0
60,Arunachal Pradesh,3,East Siang,5,2017,0,1,0,0,0,0,93.8,1761,97.8,7.9,94.4,105.3,84.0,66.5,29,40,0,2126,0.0,22.71,12,23,11,3,3,2,39,130197,0
61,Arunachal Pradesh,3,East Siang,5,2018,1,0,1,0,1,0,95.3,1994,98.7,7.0,91.1,109.1,85.1,80.1,1287,50,1,2135,50.15,25.08,16,23,11,3,3,2,39,139587,0
62,Arunachal Pradesh,3,East Siang,5,2019,1,0,0,1,0,1,96.5,2042,98.5,6.8,98.2,102.0,85.0,62.2,1034,35,3,2052,146.91,17.14,54,23,11,3,3,2,39,146567,0
63,Arunachal Pradesh,3,Kra Daadi,6,2017,0,1,0,0,0,0,31.3,171,100.0,5.3,90.1,97.1,83.0,77.2,0,0,0,297,0.0,0.0,12,8,3,1,1,1,12,130197,0
64,Arunachal Pradesh,3,Kra Daadi,6,2018,1,0,1,0,1,0,37.8,129,100.0,2.5,72.9,89.1,61.2,182.2,81,0,0,279,0.0,0.0,16,8,4,1,1,1,13,139587,0
65,Arunachal Pradesh,3,Kra Daadi,6,2019,1,0,0,1,0,1,48.0,49,100.0,0.0,77.6,93.9,61.2,200,35,0,0,138,0.0,0.0,54,8,4,1,1,1,13,146567,0
66,Arunachal Pradesh,3,Kurung Kumey,7,2017,0,1,0,0,0,0,75.1,419,99.5,2.9,74.9,165.4,68.7,157,110,0,0,905,0.0,0.0,12,17,4,2,2,1,24,130197,0
67,Arunachal Pradesh,3,Kurung Kumey,7,2018,1,0,1,0,1,0,78.3,277,99.3,1.1,80.9,204.0,72.9,200.7,481,0,0,836,0.0,0.0,16,17,4,2,2,1,24,139587,0
68,Arunachal Pradesh,3,Kurung Kumey,7,2019,1,0,0,1,0,1,78.6,210,100.0,0.5,76.7,187.6,75.2,171.4,306,0,0,547,0.0,0.0,54,17,4,2,2,1,24,146567,0
69,Arunachal Pradesh,3,Lohit,8,2017,0,1,0,0,0,0,94.5,1036,98.2,6.3,90.3,116.0,82.7,274.4,60,7,0,1785,0.0,6.76,12,10,4,2,2,1,17,130197,0
70,Arunachal Pradesh,3,Lohit,8,2018,1,0,1,0,1,0,96.3,987,97.3,10.6,94.8,109.1,94.8,80.4,623,2,0,1413,0.0,2.03,16,12,4,2,2,1,19,139587,0
71,Arunachal Pradesh,3,Lohit,8,2019,1,0,0,1,0,1,98.1,969,97.7,9.0,98.5,108.2,96.5,83.7,721,1,2,1023,206.4,1.03,54,12,4,2,2,1,19,146567,0
72,Arunachal Pradesh,3,Longding,9,2017,0,1,0,0,0,0,56.6,723,98.5,0.1,74.7,128.6,68.2,699.7,0,1,9,943,1244.81,1.38,12,9,1,3,3,3,13,130197,0
73,Arunachal Pradesh,3,Longding,9,2018,1,0,1,0,1,0,50.7,621,98.9,0.4,43.2,131.2,17.1,88.2,126,0,0,1046,0.0,0.0,16,9,1,3,3,3,13,139587,0
74,Arunachal Pradesh,3,Longding,9,2019,1,0,0,1,0,1,65.4,402,99.0,0.3,87.8,175.9,29.4,143,359,0,0,872,0.0,0.0,54,9,1,3,3,3,13,146567,0
75,Arunachal Pradesh,3,Lower Dibang Valley,10,2017,0,1,0,0,0,0,98.1,621,98.1,8.3,109.5,128.0,76.7,127.5,33,6,0,1228,0.0,9.66,12,14,3,4,4,1,22,130197,0
76,Arunachal Pradesh,3,Lower Dibang Valley,10,2018,1,0,1,0,1,0,94.2,601,97.2,12.2,109.3,123.5,64.6,147.3,657,5,0,1219,0.0,8.32,16,14,3,4,4,1,22,139587,0
77,Arunachal Pradesh,3,Lower Dibang Valley,10,2019,1,0,0,1,0,1,85.3,563,98.3,9.9,103.9,126.8,78.0,154.9,698,6,1,1008,177.62,10.66,54,14,3,4,4,1,22,146567,0
78,Arunachal Pradesh,3,Lower Subansiri,11,2017,0,1,0,0,0,0,70.2,488,99.2,6.3,81.8,95.5,74.0,131.4,47,5,0,952,0.0,10.25,12,38,7,3,3,1,49,130197,0
79,Arunachal Pradesh,3,Lower Subansiri,11,2018,1,0,1,0,1,0,80.9,511,98.5,6.0,83.0,111.5,76.5,146.8,716,15,0,1097,0.0,29.35,16,38,7,3,3,1,49,139587,0
80,Arunachal Pradesh,3,Lower Subansiri,11,2019,1,0,0,1,0,1,86.1,386,98.0,6.1,91.5,122.3,88.1,171.8,654,3,0,848,0.0,7.77,54,38,7,3,3,1,49,146567,0
81,Arunachal Pradesh,3,Namsai,12,2017,0,1,0,0,0,0,93.2,729,99.2,5.9,95.7,169.0,75.6,675,36,0,0,1670,0.0,0.0,12,16,4,3,3,3,23,130197,0
82,Arunachal Pradesh,3,Namsai,12,2018,1,0,1,0,1,0,74.8,989,98.2,16.3,81.1,178.5,65.4,166.8,1462,0,0,2084,0.0,0.0,16,20,4,3,3,1,28,139587,0
83,Arunachal Pradesh,3,Namsai,12,2019,1,0,0,1,0,1,73.8,1732,98.3,5.0,72.7,113.8,70.3,105.4,1687,6,0,2514,0.0,3.46,54,20,4,3,3,1,28,146567,0
84,Arunachal Pradesh,3,Papum Pare,13,2017,0,1,0,0,0,0,99.8,5846,99.3,9.1,104.1,101.0,92.2,54.2,250,24,0,9231,0.0,4.11,12,34,16,4,4,4,58,130197,0
85,Arunachal Pradesh,3,Papum Pare,13,2018,1,0,1,0,1,0,99.2,6048,99.0,7.8,66.7,64.6,54.0,50.3,2118,61,3,8005,49.6,10.09,16,34,16,4,4,4,58,139587,0
